Event Name,Format,Organizer,Start Date,City,Country,Description,URL
SecureWV 16: Things that keep you up at night,In Person,Secure WV,2025-10-24,Charleston,United States,"SecureWV 16, held October 24-25, 2025, offers attendees access to both days of the conference, including a lanyard. The event focuses on cybersecurity challenges.",https://www.securewv.org/product-category/conference-tickets/
FutureCon Cybersecurity Conference,In Person,FutureCon Events,2025-10-23,San Diego,United States,"Join FutureCon Events in San Diego for a cybersecurity event featuring insights from esteemed speakers and up to 10 CPE credits. Attendees will explore the latest cybersecurity developments, learn to manage risk, demo new technologies, and network with the local community. The event includes a keynote on the future of product security and a CISO/Industry Leader panel discussing current cyber threats and strategic defense practices.",https://futureconevents.com/events/san-diego-ca-2025
"Next IT Security Nordics: October 23, 2025",In Person,Next IT Security,2025-10-23,Stockholm,Sweden,"The Next IT Security Nordics conference on October 23, 2025, in Stockholm focuses on collaboration, communication, and trust in cybersecurity. Discussions will cover topics such as returning to traditional methods in light of technological advancements, supply chain and security awareness, threats from hacktivists and nation-states targeting critical infrastructure, emerging threats in the cloud universe, and AI security culture. Keynote speakers include Tobias Ander (Swedish Armed Forces), Flavio Aggio (WHO), and Marijn Schuurbiers (Europol EC3).",https://nextitsecurity.com/nordics-october-23-2025/
cidaas connect 2025,In Person,cidaas,2025-10-23,Brühl,Germany,"cidaas connect 2025 is an event for those involved in IAM and CIAM. It's a two-day event filled with innovation, inspiration, and networking, focusing on the future of Identity & Access Management (IAM) and Customer Identity & Access Management (CIAM). Attendees will meet industry leaders to shape the future of digital identities, with innovation, networking, and insights.",https://connect.cidaas.com/
Identity Days 2025,In Person,CADIM,2025-10-21,Paris,France,"Identity Days is a conference dedicated to identity and access management and digital identity cybersecurity, featuring over 25 conferences. The 7th edition will take place on October 21, 2025, offering insights into IAM and opportunities within the field. Participants can expect expert-led conferences and a convivial atmosphere.",https://identitydays.com/
"IANS: CISO Roundtable Washington, D.C.",In Person,IANS,2025-10-21,Washington,United States,"IANS CISO Roundtables bring together CISO peers and IANS Faculty to share best practices in a trusted, closed-door environment, without vendor presence. This event provides an opportunity to discuss critical issues shaping the security industry and dive into innovative solutions to face those challenges. Attendees can ask questions, brainstorm program strategy, and get personalized advice.",https://www.iansresearch.com/what-we-do/events/roundtables/details/2025/10/21/2025-ciso-roundtables/2025-october-21-ciso-roundtable
CIOMeet 2025: San Diego,In Person,CXO Inc.,2025-10-21,San Diego,United States,"CIOMeet by CXO Inc. brings together a community of CIOs to discuss, debate, and challenge strategies through panels, roundtables, and 1:1 discussions. The events offer a forum for CIOs and IT Strategists to engage in discussions and examinations of Enterprise IT, igniting innovation and forging partnerships.",https://www.ciomeet.org/
IMF Academy: CISSP Certification Training,Hybrid,IMF Academy,2025-10-21,Amsterdam,Netherlands,"This 5-day CISSP certification training will prepare you for the official (ISC)2 CISSP exam. Get certified now for CISSP, the world’s premier (cyber)security certification! The training is designed for experienced security professionals who want to expand their knowledge and gain an internationally recognized accreditation.",https://www.imfacademy.com/security-management/cissp.php
NoHat 2025 | Computer Security Conference,Hybrid,Berghem-in-the-Middle,2025-10-18,Bergamo,Italy,"No Hat is a yearly security conference that brings together specialists, professionals and hobbyists operating in the wide field of computer security and privacy. Entirely held in English, the event now in it's 7th edition, is organized by non-profit association Berghem-in-the-Middle.",https://www.nohat.it
BSides New York City 2025,In Person,BSidesNYC,2025-10-18,New York,United States,"BSidesNYC is an Information / Security conference organized by volunteers for the community, featuring three technical tracks (Red Teams, Blue Teams, Other), an Entrepreneur track, villages (lockpicking, soldering, community organizations), and Capture The Flag events.",https://bsidesnyc.org/
BSides Cleveland 2025,In Person,BSides Cleveland,2025-10-18,Cleveland,United States,"BSides Cleveland 2025 will explore the theme of ""renewal"", looking at old attacks that have been refreshed or are still effective. The event will feature presentations on topics such as new coding techniques, zero-day exploits, malware, hacking techniques, privacy, vulnerability research, hardware hacking, and wireless security. The conference will take place at Ingenuity Cleveland, a non-profit organization dedicated to fostering creativity and innovation in Cleveland, Ohio.",https://bsidescle.com/wp/2025-annual-conference/
The Official Cybersecurity Summit: Scottsdale,In Person,Cybersecurity Summit,2025-10-17,Scottsdale,United States,"The 7th Annual Scottsdale Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/scottsdale25/
Conf42: Kube Native 2025,Virtual,Conf42,2025-10-16,London,United Kingdom,"Conf42 Kube Native 2025 is an online event taking place on October 16, 2025. Attendees can learn for free and join the tech learning community.",https://www.conf42.com/kubenative2025
CIOMeet 2025: Miami,In Person,CXO Inc.,2025-10-16,Miami,United States,"CIOMeet by CXO Inc. brings together a community of CIOs to discuss, debate, and challenge strategies through panels, roundtables, and 1:1 discussions. These events provide a dynamic forum for CIOs and IT Strategists to engage in profound discussions and examinations of Enterprise IT, fostering collaboration and innovation.",https://www.ciomeet.org/
Transform Finance: Fraud & Scams Leaders Summit,In Person,Transform Finance,2025-10-16,London,United Kingdom,"The 2nd Annual Fraud & Scams Leaders Summit brings together leading industry experts to discuss the latest trends, innovations, and developments in tackling fraud and scams within the fast-evolving world of economic crime. Attendees will learn about recent developments in combatting fraud and scams, discuss the latest issues, and share knowledge and solutions with fraud professionals. The event will feature discussions, case studies, networking opportunities, and access to the latest technologies and vendors to mitigate financial crime risk.",https://www.transformfinance.media/2nd-fraud-scams-summit-central-london
Hackfest 2025- Ghost in the Shell,In Person,Hackfest,2025-10-16,Quebec City,Canada,"Hackfest is the largest hacking event and community in Canada. The event includes talks, villages, CTFs, and trainings. This edition features a keynote by Chris Roberts and a CTF with over $4000 in prizes.",https://hackfest.ca/
The Official Cybersecurity Summit: Boston,In Person,Cybersecurity Summit,2025-10-16,Boston,United States,"The 10th Edition of the Boston Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/boston25-oct/
CIO NetworX Frankfurt,In Person,CIO NetworX,2025-10-16,Frankfurt,Germany,"CIO NetworX Frankfurt offers an exclusive evening tailored for senior IT leaders and decision-makers. Designed for depth and connection, this private forum facilitates high-level discussions, targeted networking, and peer-driven insight-sharing in an intimate, executive setting. The experience includes curated networking with vetted solution partners, chauffeured car service, gourmet refreshments, and a private insight dinner.",https://cxo-institute.com/our-events/cio-networx-frankfurt-oct-2025/
European Blockchain Convention 11,In Person,European Blockchain Convention,2025-10-16,Barcelona,Spain,"The European Blockchain Convention 11, taking place in Barcelona on October 16-17, 2025, is the most influential blockchain event in Europe, bringing together over 40,000 crypto enthusiasts. It features builders, founders, and investors shaping the crypto industry, with a focus on real operators. The event includes a large meetings program with over 10,000 one-on-one meetings, and covers topics in digital assets, Web3, infrastructure, policy, and blockchain enterprise. It will include three stages, a greater exhibition area, and app-powered 1:1 meetings to maximize ROI.",https://eblockchainconvention.com/european-blockchain-convention-11/
Digital Transformation Summit Indonesia 2025,In Person,Digital Transformation Summit,2025-10-15,Jakarta,Indonesia,"At the Digital Transformation Summit Indonesia 2025, explore three dynamic tracks designed to tackle the evolving landscape of tech, talent, and marketing, including IT x Impact, HR & Workforce Innovation, and MarTech. The event focuses on Indonesia's digital future and its booming digital economy.",https://digitransformationsummit.com/indonesia/
InfoQ Dev Summit Munich 2025,In Person,InfoQ and QCon,2025-10-15,Munich,Germany,"InfoQ Dev Summit Munich is a software development conference for senior developers. Attendees will learn from peers and trusted practitioners, getting real solutions to tackle today's critical software challenges.",https://devsummit.infoq.com/munich2025_medialisting
Chief AI Officer Summit: Boston,In Person,world.aiacceleratorinstitute,2025-10-15,Boston,United States,"Join 125+ execs - from newly-appointed Chief AI Officers, to established Chief Data & Technology Officers - to streamline production & maximize value.",https://world.aiacceleratorinstitute.com/location/caionewyork
Generative AI Summit: Boston,In Person,World AI Accelerator Institute,2025-10-15,Boston,United States,"Join your peers in facilitating the LLM & multimodal AI era, and leave with the tools to scale powerful, cost-effective applications on the journey to AGI. The summit brings together the brightest minds in AI to bridge the gap between cutting edge research & value-driving application for engineers & developers, offering three days of networking, learning and discussion to conquer challenges in infrastructure, data layer, deployment, optimization, and beyond, and to remain competitive with the latest cutting-edge applications & technologies.",https://world.aiacceleratorinstitute.com/location/boston
LogicON 2025,In Person,Logically,2025-10-14,Columbus,United States,"LogicON 2025 is your gateway to understanding and preparing for AI’s impact on security operations, IT management, and governance. This year's summit is designed to help IT and security leaders assess AI’s real-world implications, separate hype from reality, and build practical strategies—whether or not their organizations currently use AI solutions.",https://logicon.logically.com/
IANS Boston Information Security Forum,In Person,IANS,2025-10-14,Boston,United States,"The Boston Forum is designed for information security practitioners across all industries to dive deep on specific topics, share insights, and network with peers. This one-day event incorporates breakouts with IANS Faculty, spotlight sessions on emerging technologies, and opportunities to network with your peers. Topics fall into three tracks: Security Architecture and Security Operations, Governance, Risk Management, and Compliance, and Leadership and Management.",https://www.iansresearch.com/what-we-do/events/forums/details/2025/10/14/2025-forums/2025-boston-forum
ATT&CKcon 6.0 2025,Hybrid,The MITRE ATT&CK team,2025-10-14,"McLean, VA",United States,"Join the MITRE ATT&CK team on October 14 and 15, 2025, at their headquarters in McLean, VA, for ATT&CKcon 6.0. Connect with cyber professionals, hear from expert speakers, and dive into engaging content designed to help you make the most of the ATT&CK framework. Attendees will hear keynote remarks, learn about MITRE ATT&CK’s global impact, and connect with the private sector, academia, government, and service communities.",https://na.eventscloud.com/attackcon6
CDAO Fall 2025,In Person,Corinium,2025-10-14,Boston,United States,"CDAO Fall is the annual meeting place for senior data decision-makers across North America, featuring over 100 speakers and 400 attendees. The event focuses on data, analytics, and AI leaders.",https://cdao-fall.coriniumintelligence.com/
INCYBER Forum Canada,In Person,InCyber Forum,2025-10-14,Montréal,Canada,"The InCyber Forum Canada, a leading event in cybersecurity and digital trust, returns for its fourth edition. It brings together experts to discuss making the Internet safer, building trust in new technologies, preventing cybercrime, and strengthening vital infrastructures. The event facilitates networking, business meetings, and the presentation of technology solutions and services.",https://northamerica.forum-incyber.com/en/home-en/
Platform Summit 2025,In Person,Nordic APIs,2025-10-13,Stockholm,Sweden,"Join API industry leaders at the Platform Summit, Nordic APIs’ flagship event, to tackle the many challenges facing heterogenous, API-heavy enterprise software architectures.",https://nordicapis.com/events/platform-summit-2025/
Corinium: CDAO Perth 2025,In Person,cdao-perth.coriniumintelligence,2025-10-13,Perth,Australia,"CDAOPerthis the premier event for senior leaders driving data-driven strategies, innovation, and business growth. Tailored for Chief Data Officers, Chief Analytics Officers, and other key decision-makers, it offers valuable insights for digital transformation leaders and data analysts. This platform fosters collaboration to enhance data strategy and innovation within differentorganisations.",https://cdao-perth.coriniumintelligence.com/
"FutureCon Cybersecurity Conference - Columbus, OH 2025",In Person,FutureCon Events,2025-10-09,Columbus,United States,"Join FutureCon in Columbus for a day of high-level cybersecurity training for C-suite executives and CISOs. The event features illuminating presentations, a panel discussion with C-level executives, and opportunities to network with security leaders. Attendees will gain insights on managing risk, exploring the latest technologies, and preparing for future cyber threats, earning up to 10 CPE credits.",https://futureconevents.com/events/columbus-oh-2025
CIOMeet 2025: Toronto,In Person,CIOMeet by CXO Inc.,2025-10-09,Toronto,Canada,"CIOMeet by CXO Inc. events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions. These are not just those conversations that take place in the confines of your typical business meeting, but a real collaboration among an intimate group of C-suite IT executives.",https://www.ciomeet.org/
The Official Cybersecurity Summit: Charlotte,In Person,Cybersecurity Summit,2025-10-09,Santa Clara,United States,"The 7th Annual Charlotte Cybersecurity Summit connects cybersecurity executives and seasoned practitioners with innovative solution providers and renowned information security experts. Admission offers access to interactive panels, discussions, catered breakfast, lunch, and cocktail reception. Key topics include incident response, threat mitigation, emerging threats, and security trends.",https://cybersecuritysummit.com/summit/charlotte25/
CIO Institute: San Francisco 2025,In Person,cxo-institute,2025-10-09,San Francisco,United States,"Explore methods for analyzing and designing efficient business processes tailored to organizational objectives and discuss the role of technology in automating processes, enhancing efficiency, and selecting appropriate tools for seamless integration. Address the challenges of implementing BPM and consider the change management strategies to ensure smooth transitions and employee buy-in, including the importance of fostering collaboration across the business, breaking down silos for a holistic approach to BPM. Discuss how Business Process Management can enhance regulatory compliance and risk management, ensuring processes align with industry standards and mitigate potential risks.",https://cxo-institute.com/our-events/cio-institute-san-francisco-oct-2025/
Wild West Hackin' Fest,Hybrid,Wild West Hackin' Fest,2025-10-08,Deadwood,United States,"Wild West Hackin' Fest is a cybersecurity conference offering technical talks, hands-on workshops, expert-led training, and networking opportunities. The event includes pre-conference training on October 7th-8th and the main conference from October 8th-10th, with both in-person and virtual options. Attendees can expect to enhance their cybersecurity skills and connect with others in the field. The Deadwood event also offers exclusive experiences like a chuckwagon dinner and old-time photos.",https://wildwesthackinfest.com/
Executive Partners Network: Infotech 2025,In Person,epnlive,2025-10-08,London,United Kingdom,"Infotech 2025 is not just a conference; it's a nexus of innovation, collaboration, and forward-thinking insight. Step into an immersive realm where cutting-edge technologies converge with visionary strategies, fostering an environment where challenges become opportunities and ideas become actions.",https://epnlive.com/event/londoninfotech25-2/
The Official Cybersecurity Summit,In Person,Cybersecurity Summit,2025-10-08,Santa Clara,United States,"The 10th Edition of the Silicon Valley Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch and cocktail reception.",https://cybersecuritysummit.com/summit/siliconvalley25-oct/
"Executive Partners Network: CyberSec 2025, London",In Person,Executive Partners Network,2025-10-08,London,United Kingdom,"CyberSec 2025 is a gathering for CISOs and cybersecurity leaders. Attendees will discover insights, strategies, and connections to safeguard the digital landscape. The event features keynote presentations, interactive panels, and round table discussions on topics like AI-powered threat detection, blockchain-driven data integrity, sophisticated cyber threats, supply chain risk, zero trust implementation, regulatory compliance, and talent acquisition.",https://epnlive.com/event/londoncybersec25-2/
Cyber Security For Critical Manufacturing,In Person,usa.manusecevent,2025-10-07,Chicago,United States,"This is a unique opportunity to build partnerships with senior cybersecurity professionals from America’s Aerospace & Defense, Machinery, Electrical, Food & Beverage, Automotive, Metals, Chemical, Pharma, Transportation Equipment manufacturing & more, while participating in the discussions shaping the American cybersecurity landscape in 2024 and beyond.",https://usa.manusecevent.com/
c0c0n 2025,Hybrid,CSEA,2025-10-07,Cochin,India,"c0c0n is a 17 years old platform that is aimed at providing opportunities to showcase, educate, understand and spread awareness on Information Security, data protection, and privacy. It also aims to provide a hand-shaking platform for various Corporate, Government organizations including the various investigation agencies, academia, research organizations, industry leaders and players, for better coordination in making the cyber world a better and safe place to be. Various technical, non-technical, legal and community events as part of the conferences.",https://india.c0c0n.org/2025/
CDAO Malaysia 2025,In Person,Corinium,2025-10-07,Kuala Lumpur,Malaysia,"CDAO Malaysia is returning for its third year as the largest annual gathering of the nation’s most senior data, analytics, and AI decision-makers. Data leaders will connect, learn, and innovate towards a better future, covering Artificial Intelligence (AI), machine learning, data governance, compliance, data security, and unlocking the full potential of data.",https://cdao-my.coriniumintelligence.com/home
Cloud Foundry Day Europe 2025,In Person,Cloud Foundry Foundation,2025-10-07,Frankfurt,Germany,"Cloud Foundry Day is a one-day event bringing together the Cloud Foundry community to explore the latest advancements, innovative practices, and future directions of the platform. Attendees can expect deep dives into technical intricacies, opportunities to connect with others, and hands-on workshops. The event is hosted by the Cloud Foundry Foundation.",https://events.linuxfoundation.org/cloud-foundry-day-europe/
The Network Group: Information Security Network,In Person,The Network Group,2025-10-06,Berkshire,United Kingdom,"The UK Information Security Network enables CISOs, from the largest organisations in the UK, to discuss their current challenges, collaborate and share their experiences to maximise their security defence. The event will cover topics such as digital transformation, modern CISO challenges, data governance, insider threats, cloud security, and third-party risk management.",https://thenetwork-group.com/information-security-network/
HACKTIVITY 2025,Hybrid,Hacktivity,2025-10-03,Budapest,Hungary,"Hacktivity, the oldest IT security festival in Central and Eastern Europe, is thrilled to announce its 2025 edition, scheduled for October 3, 2025. Renowned for its focus on the latest trends in cybersecurity, the event attracts about 1000 visitors annually from around the globe, offering presentations and comprehensive workshop sessions.",https://hacktivity.com/
Conf42: Incident Management 2025,Virtual,Conf42,2025-10-02,London,United Kingdom,"Conf42 Incident Management 2025 is an online event taking place on October 02, 2025. Join the best tech learning community for free.",https://www.conf42.com/im2025
DevOpsDays: Des Moines 2025,In Person,Devopsdays,2025-10-02,Des Moines,United States,"Agile + DevOpsDays Des Moines is back again! Join us for the conference from Thursday, Oct 2, 2025 - Friday, Oct 3, 2025 in Des Moines.",https://devopsdays.org/events/2025-des-moines/welcome/
CIO NetworX Dallas,In Person,CIO NetworX,2025-10-02,Dallas,United States,"CIO NetworX Dallas brings together top CIOs and IT decision-makers for an exclusive evening of strategic networking, thought leadership, and high-value discussions. Designed to facilitate meaningful connections and actionable insights, this event provides a unique platform for IT executives to explore emerging challenges and innovative solutions.",https://cxo-institute.com/our-events/cio-networx-dallas-oct-2025/
Global CISO Forum 2025,In Person,EC-Council,2025-10-01,Atlanta,United States,"EC-Council’s Global CISO Forum is an invite-only, closed-door event gathering the highest level executives from across industries and countries to discuss the most pressing issues in information security. Now in its fourteenth year, the 2025 Global CISO Forum promises to be the best yet with an exciting mix of industries, formats, and interactive presentations.",https://ciso.eccouncil.org/
Hacker Halted 2025,In Person,EC-Council,2025-10-01,Atlanta,United States,"Hacker Halted 2025, themed ""Order from Chaos,"" is a cybersecurity conference in Atlanta, GA. It focuses on navigating the complexities of cybersecurity to build resilient systems, featuring presentations, networking, panel discussions, and breakout sessions. Additionally, advanced ethical hacking training is available.",http://www.hackerhalted.com/
Identity Management & Access Control,In Person,IMF Academy,2025-10-01,Amsterdam,Netherlands,"This 4-day training by IMF Academy focuses on Identity Management & Access Control (IAM), covering topics like increasing security and productivity while decreasing costs, downtime, and repetitive tasks. The course addresses the challenges enterprises face in managing access to information and applications across various systems, ensuring security and compliance. It explores how to manage risks, achieve business outcomes, and adapt to emerging technologies such as cloud computing.",https://www.imfacademy.com/security-management/identity-management-and-access-control.php
HOU.SEC.CON. | Cybersecurity Conference,In Person,HOU.SEC.CON.,2025-09-30,Houston,United States,"HOU.SEC.CON. is the Houston-area information security conference, bringing together the cybersecurity community. The 15th annual event will feature insightful sessions, interactive attractions, and networking opportunities for cybersecurity professionals and enthusiasts. Anticipating over 2,500 attendees, the conference will explore a wide spectrum of cybersecurity topics, including OT Security and Security Leadership tracks.",https://www.houstonseccon.com
The Official Cybersecurity Summit Columbus,In Person,Cybersecurity Summit,2025-09-30,Columbus,United States,"The 6th Annual Columbus Cybersecurity Summit connects cybersecurity executives and seasoned practitioners with innovative solution providers and renowned information security experts. Admission offers attendees access to interactive panels, discussions, catered breakfast, lunch, and a cocktail reception. Key topics include building incident response plans, detecting and mitigating cyber threats, and emerging threats like ransomware and phishing.",https://cybersecuritysummit.com/summit/columbus25/
The Official Cybersecurity Summit: San Diego,In Person,Cybersecurity Summit,2025-09-30,San Diego,United States,"The 6th Edition of the San Diego Cybersecurity Summit connects cybersecurity executives and seasoned practitioners with innovative solution providers and renowned information security experts. Admission offers access to interactive panels, discussions, catered meals, and a cocktail reception. Key topics include incident response, threat mitigation, and emerging security trends.",https://cybersecuritysummit.com/summit/sandiego25-sept/
Network Security – The Official Cybersecurity Summit,Virtual,Cybersecurity Summit,2025-09-30,New York City,United States,"This virtual conference brings together industry leaders to explore the future of network security, address critical vulnerabilities, and share actionable insights on building resilient, scalable, and secure networks.",https://cybersecuritysummit.com/summit/networksecurity25/
Civo Navigate London 2025,In Person,Civo,2025-09-30,London,United Kingdom,"Civo Navigate London is a tech event packed with talks and workshops focused on navigating and succeeding within the cloud native landscape. The event, held at Convene 155 Bishopsgate in London, UK, on September 30th, 2025, will feature industry leaders, innovation, and education tailored to all skill levels. Attendees can expect to gain insights and actionable takeaways in a setting equipped with state-of-the-art facilities.",https://www.civo.com/navigate/london/2025
Defenders Tour: SecOps Workshop - Sydney,In Person,LimaCharlie,2025-09-29,Sydney,Australia,"This hands-on workshop introduces a powerful architecture for modern security operations by integrating four complementary tools that address critical elements of the security lifecycle. Participants will learn how to build a scalable security foundation using LimaCharlie's SecOps Cloud Platform to consolidate your security stack, normalize telemetry from disparate sources, and investigate threats at scale.",https://lu.ma/defenders-tour-sydney
The Network Group: DACH Information Security Network Event Frankfurt,In Person,The Network Group,2025-09-29,Frankfurt,Germany,"The DACH Information Security Network will bring together information security leaders from the largest enterprises across the DACH region to network, share best practice and discuss the current and future pressures facing the industry as a whole in a private and discreet environment. CISOs will discuss current security challenges, share best practices, and collaborate to develop new solutions to strengthening their security defences.",https://thenetwork-group.com/dach-information-security-network/
MLcon New York 2025,Hybrid,devmio,2025-09-29,New York,United States,"MLcon New York is the event for Generative AI & Machine Learning Engineering, taking place from September 29 to October 3, 2025, in New York and online. The event will cover topics like advanced ML development, MLOps, and Generative AI & Large Language Models (LLMs) with workshops, sessions, keynotes, and networking opportunities.",https://mlconference.ai/new-york/
COSAC 2025,In Person,COSAC,2025-09-28,Kildare,Ireland,"COSAC 2025 is an information security conference inviting free thinkers. It offers an international community of big thinkers with leading-edge information security strategy, pragmatism, and realism. The conference focuses on individual and collective challenges with limited numbers for intimacy and privacy.",https://cosac.net/cosac/
BSides Kraków 2025,Hybrid,BSides Kraków,2025-09-27,Kraków,Poland,"BSides Kraków is an open platform that gives security experts and industry professionals the opportunity so share ideas, insights, and develop longstanding relationships with others in the community. The event features expert-led sessions, cutting-edge insights, and networking opportunities, providing attendees with practical knowledge and best practices in cybersecurity.",https://bsideskrakow.pl/
RomHack 2025,In Person,Cyber Saiyan,2025-09-27,Rome,Italy,"RomHack is a cybersecurity event composed of a conference, training sessions, and a hacker camp. The conference will feature international speakers and an audience, with over 800 attendees expected. Training sessions will be held from September 23-26, 2025, at Polo Didattico. The 2025 edition includes a track for kids and a live hacking event.",https://romhack.io
FutureCon CyberSecurity Conference,In Person,futureconevents,2025-09-25,Des Moines,United States,"Robert LaMagna-Reiter is a leading, trusted Information Security & Risk Management professional. As CISO for Hudl, Robert leads information security strategies and roadmaps; oversees risk management; strategy; architecture and engineering; regulatory compliance, privacy engineering and IT governance. Leveraging more than 18 years of expertise, Robert helps others deliver value through proper security strategy aligned to zero-trust principles. Robert’s experience includes leadership roles in information security for transportation, government communications, retail, e-commerce, managed services & SaaS industries. Robert also serves as Advisory Board President for SOFTwarfare, Zero Trust Initiative Leader for the CyberTheory Institute, and Zero Trust Expert Committee Member for the Cloud Security Alliance.",https://futureconevents.com/events/desmoines-ia-2025
"FutureIT Vancouver: GenAI, Cloud Computing, and Cybersecurity Leadership",In Person,Foundry Events,2025-09-25,Vancouver,Canada,"FutureIT is a premier event designed to equip IT professionals with strategic insights, emerging technology trends, and real-world case studies needed to build a successful IT roadmap.  It brings together C-level executives, IT strategists, and security leaders to discuss AI, cybersecurity, and digital transformation. Attendees can expect networking opportunities, deep analysis of the tech ecosystem, and peer-led panel discussions, all aimed at inspiring and empowering them to effect change within their organizations.",https://event.ciofutureit.com/vancouver/
IANS: California CISO Roundtable,In Person,IANS,2025-09-25,Santa Clara,United States,"IANS CISO Roundtables bring together CISO peers and IANS Faculty practitioners to share best practices in a trusted, closed-door environment, without vendor presence. This is an opportunity to discuss critical issues shaping the security industry and dive into innovative solutions to face those challenges. Sample topics include quantifying & communicating risk, building program resiliency, counseling business leaders on managing digital risk, and learning how peers juggle stakeholder demands.",https://www.iansresearch.com/what-we-do/events/roundtables/details/2025/09/25/2025-ciso-roundtables/2025-september-25-ciso-roundtable
CIOMeet 2025: Orange County,In Person,ciomeet.org,2025-09-25,Orange County,United States,"Successful CIOs empower themselves with the lessons, knowledge, and experience of a community. CIOMeet by CXO Inc. collaborate community of CIOs that instigate both innovation and growth within the organization they serve. Our events allow CIOs to discuss, debate, and challenge strategies through riveting panels, intimate roundtables, and 1:1 discussions.",https://www.ciomeet.org/
Web Security Camp mit Martina Kraus,Virtual,Martina Kraus,2025-09-25,,,"Erfahren Sie, wie Hacker Sicherheitslücken ausnutzen und lernen Sie, wie Sie Ihre Webanwendungen schützen. Das Web Security Camp ist ein 2-tägiger Hands-On Workshop, in dem Sie lernen, wie Sie sich effektiv gegen Angriffe verteidigen können. Sie werden moderne Web-Sicherheitsstrategien wie OAuth2, CORS und DoS-Schutz anhand realer Szenarien kennenlernen und praktische Übungen durchführen.",https://it-security-summit.de/web-security-camp/
The Official Cybersecurity Summit,In Person,cybersecuritysummit,2025-09-25,Philadelphia,United States,"The 8th Edition of the Philadelphia Cybersecurity Summit connects cybersecurity executives and seasoned practitioners responsible for protecting their companies’ critical infrastructures with innovative solution providers and renowned information security experts. Admission offers attendees access to all interactive panels, discussions, catered breakfast, lunch, and cocktail reception.",https://cybersecuritysummit.com/summit/philadelphia25-sept/
CIO Institute Oxford | The Premier Event for IT Leaders in the UK,In Person,CIO Institute,2025-09-25,Oxford,United Kingdom,"The CIO Institute Oxford brings together 100+ senior IT leaders for a day of collaboration, strategic networking, and expert-led discussions tackling the most pressing industry challenges. This exclusive, end-user-driven platform equips digital leaders with the insights and strategies needed to enhance productivity, drive innovation, and accelerate growth. Key topics include digital transformation, cybersecurity at scale, leveraging data for business impact, and fostering technology leadership and culture. The agenda features Keynotes, Panel Discussions, Interactive Boardrooms, and 1-2-1 meetings, delivering practical takeaways and high-value connections to shape the future of IT leadership.",https://cxo-institute.com/our-events/cio-institute-oxford-sept-2025/
Mindfluence: CISO/Executive Leadership Forum,In Person,Mindfluence,2025-09-25,Lake Geneva,United States,"Mindfluence is hosting a CISO/Executive Leadership Forum at the Grand Geneva Resort and Spa in Lake Geneva, WI, on September 25-26, 2025. The event includes guest speakers, a welcome session, and an agenda with discussions on topics such as stress management in cybersecurity, AI, and deepfakes. Attendees will gain practical strategies for building resilience and managing stress.",https://mind-fluence.com/lake-geneva-2025/
VB2025 Berlin,In Person,Virus Bulletin,2025-09-24,Berlin,Germany,"VB2025 will be held in Berlin, Germany from 24 - 26 September 2025. The conference features an international line-up of speakers who are all experts in their field. The ticket price includes admission to all conference sessions and exhibition area, lunch, refreshments, coffee breaks, drinks reception, gala dinner and entertainment, a conference proceedings e-book, and a commemorative conference bag & t-shirt.",https://www.virusbulletin.com/conference/vb2025/
Certified Cost Technician (CCT),Hybrid,AACE International,2025-09-23,Amsterdam,Netherlands,"The 5-day in-class training course Certified Cost Technician (CCT) will prepare you for the international Cost Technician certificate of AACE, the International Association of Cost Engineering. The Certified Cost Technician (CCT) training course will teach you the techniques of estimating, planning and cost control for the various stages of an industrial project.",https://www.imfacademy.com/industry/certified-cost-technician-cct.php
Certified Cost Professional (CCP),Hybrid,imfacademy,2025-09-23,Amsterdam,Netherlands,"AACE International is a non-profit, leading-edge professional association, founded in the USA. AACE International is the largest organization serving the entire spectrum of the cost management profession. It is a member-driven organization that is serving the profession around the world. Members get the resources to enhance their success over the span of their career. There are over 9,500 members around the world in 100+ countries. Members include cost management professionals in disciplines such as: cost engineering, cost estimating, planning and scheduling, decision and risk management, project management, project control, cost/schedule control, earned value management, claims and more.",https://www.imfacademy.com/industry/certified-cost-professional-ccp.php
CIOMeet 2025: Tyson's Corner,In Person,CXO Inc.,2025-09-23,Tysons,United States,"CIOMeet by CXO Inc. offers a dynamic forum for Chief Information Officers (CIOs) and IT Strategists to engage in discussions, debates, and examinations of Enterprise IT. The events provide a platform for collaboration, innovation, and forging new partnerships in the IT community through panel discussions, roundtables, and 1:1 discussions.",https://www.ciomeet.org/
